;fid;date;values;trend
0;0.0;2015-10-01;0.49543243646621704;0.4755670432372217
1;0.0;2015-11-01;0.49543243646621704;0.4738953970108724
2;0.0;2015-12-01;0.46386757493019104;0.472170859406783
3;0.0;2016-01-01;0.6724146604537964;0.4703892762379706
4;0.0;2016-02-01;0.4469020962715149;0.46849370001779844
5;0.0;2016-03-01;0.4371457099914551;0.4662000634138491
6;0.0;2016-04-01;0.5130013227462769;0.46292887635122704
7;0.0;2016-05-01;0.5561020374298096;0.4577203709739014
8;0.0;2016-06-01;0.440185546875;0.4493676354891341
9;0.0;2016-07-01;0.3677908182144165;0.4382482335713502
10;0.0;2016-08-01;0.365786075592041;0.43490631135695235
11;0.0;2016-09-01;0.3534611165523529;0.4350823273551409
12;0.0;2016-10-01;0.36815157532691956;0.4382840425960932
13;0.0;2016-11-01;0.4269450306892395;0.4420826574100352
14;0.0;2016-12-01;0.5082370638847351;0.4452643962380317
15;0.0;2017-01-01;0.42096784710884094;0.44787076318536906
16;0.0;2017-02-01;0.4285907447338104;0.44994296355276875
17;0.0;2017-03-01;0.541321873664856;0.45081931932260266
18;0.0;2017-04-01;0.5549938082695007;0.4500608215736739
19;0.0;2017-05-01;0.534368634223938;0.4474677449079706
20;0.0;2017-06-01;0.43585455417633057;0.44303901292200976
21;0.0;2017-07-01;0.3933463394641876;0.43786067638261117
22;0.0;2017-08-01;0.36698397994041443;0.43344067641007544
23;0.0;2017-09-01;0.42351606488227844;0.43051293236808963
24;0.0;2017-10-01;0.38612526655197144;0.42873665984711573
25;0.0;2017-11-01;0.38019150495529175;0.42818270137914244
26;0.0;2017-12-01;0.3960922360420227;0.4287229343489641
27;0.0;2018-01-01;0.3828113377094269;0.4295739655879869
28;0.0;2018-02-01;0.439726859331131;0.43032967376766473
29;0.0;2018-03-01;0.4803924858570099;0.4311278628000032
30;0.0;2018-04-01;0.5459276437759399;0.43246909150935225
31;0.0;2018-05-01;0.4859771430492401;0.4347161244616096
32;0.0;2018-06-01;0.4586806297302246;0.43756771018999896
33;0.0;2018-07-01;0.41045060753822327;0.4400854335700694
34;0.0;2018-08-01;0.37416425347328186;0.4414867319477268
35;0.0;2018-09-01;0.4058075249195099;0.4416631413261042
36;0.0;2018-10-01;0.4206192195415497;0.44106560063778205
37;0.0;2018-11-01;0.4252849221229553;0.44023291407361126
38;0.0;2018-12-01;0.45506519079208374;0.43911109969589995
39;0.0;2019-01-01;0.4510595202445984;0.4376340603756449
40;0.0;2019-02-01;0.42852649092674255;0.43601052698817916
41;0.0;2019-03-01;0.43025559186935425;0.4350005712053374
42;0.0;2019-04-01;0.5009819269180298;0.4351259310206957
43;0.0;2019-05-01;0.4996113181114197;0.436660231841257
44;0.0;2019-06-01;0.429284006357193;0.4396074937809199
45;0.0;2019-07-01;0.3768630027770996;0.44386862932987714
46;0.0;2019-08-01;0.3837122619152069;0.44958176961083446
47;0.0;2019-09-01;0.41449272632598877;0.4570243003303657
48;0.0;2019-10-01;0.4701019823551178;0.46608440868503875
49;0.0;2019-11-01;0.47108227014541626;0.47579936480330154
50;0.0;2019-12-01;0.4947708249092102;0.48391363893122885
51;0.0;2020-01-01;0.48243528604507446;0.48749538664425807
52;0.0;2020-02-01;0.4751560091972351;0.483818309353212
53;0.0;2020-03-01;0.5308414101600647;0.4712364078209366
54;0.0;2020-04-01;0.606630265712738;0.4499479287396477
55;0.0;2020-05-01;0.6135073900222778;0.4215497605171091
56;0.0;2020-06-01;0.5353475213050842;0.3881543269123219
57;0.0;2020-07-01;0.39399078488349915;0.3518903764200958
58;0.0;2020-08-01;0.2413170486688614;0.314333010927508
59;0.0;2020-09-01;0.1804676055908203;0.2769129325206524
60;0.0;2020-10-01;0.11502114683389664;0.240845823575826
61;0.0;2020-11-01;0.09930826723575592;0.20821602083639218
62;0.0;2020-12-01;0.08629350364208221;0.18151835051678816
63;0.0;2021-01-01;0.08066898584365845;0.162612569573694
64;0.0;2021-02-01;0.10024548321962357;0.15214744529014795
65;0.0;2021-03-01;0.1287711262702942;0.14943598015674048
66;0.0;2021-04-01;0.24952921271324158;0.15241427155281378
67;0.0;2021-05-01;0.18787232041358948;0.15865877883657772
68;0.0;2021-06-01;0.21647517383098602;0.16604542182392268
69;0.0;2021-07-01;0.20288164913654327;0.17288688133003052
70;0.0;2021-08-01;0.1635456383228302;0.17829453714673965
71;0.0;2021-09-01;0.1566924750804901;0.18214939309635328
72;0.0;2021-10-01;0.19401028752326965;0.18517602299295322
73;0.0;2021-11-01;0.16562362015247345;0.18824169506259217
74;0.0;2021-12-01;0.1689537614583969;0.19165782122522992
75;0.0;2022-01-01;0.17416824400424957;0.195428529673645
76;0.0;2022-02-01;0.11992349475622177;0.19916962355562912
77;0.0;2022-03-01;0.16837942600250244;0.2028583734462816
78;0.0;2022-04-01;0.25297626852989197;0.2063203624353298
79;0.0;2022-05-01;0.3162766695022583;0.20937237222567384
80;0.0;2022-06-01;0.28119707107543945;0.2122508035621499
81;0.0;2022-07-01;0.2425599843263626;0.21510891163294693
82;0.0;2022-08-01;0.22028277814388275;0.2172644067813345
83;0.0;2022-09-01;0.19906088709831238;0.217805486610797
84;0.0;2022-10-01;0.19185471534729004;0.21638352686453294
85;0.0;2022-11-01;0.17347803711891174;0.2133784395466523
86;0.0;2022-12-01;0.17282068729400635;0.20997341127474434
87;0.0;2023-01-01;0.19492915272712708;0.20735895867495077
88;0.0;2023-02-01;0.1821756213903427;0.2061040313127203
89;0.0;2023-03-01;0.18001389503479004;0.20613616534121057
90;0.0;2023-04-01;0.2169167846441269;0.2069932988946849
91;0.0;2023-05-01;0.27597230672836304;0.20803343075627467
92;0.0;2023-06-01;0.2607760727405548;0.20837838830469138
93;0.0;2023-07-01;0.2568374574184418;0.20800815981036705
94;0.0;2023-08-01;0.2163849174976349;0.2072970149321251
95;0.0;2023-09-01;0.1759023517370224;0.20626669139422518
96;0.0;2023-10-01;0.19576039910316467;0.20468195670686548
97;0.0;2023-11-01;0.17245453596115112;0.2024197256862767
98;0.0;2023-12-01;0.18656174838542938;0.19964103998642332
99;0.0;2024-01-01;0.1068062037229538;0.19700763490158985
100;0.0;2024-02-01;0.16089536249637604;0.1955681940429574
101;0.0;2024-03-01;0.20905549824237823;0.19613722354137358
102;0.0;2024-04-01;0.23835489153862;0.1989135658000857
103;0.0;2024-05-01;0.24231673777103424;0.20347236751804545
104;0.0;2024-06-01;0.2416525036096573;0.2092941150095213
105;0.0;2024-07-01;0.24137473106384277;0.2159835787479537
106;0.0;2024-08-01;0.20146280527114868;0.22305899630063114
107;0.0;2024-09-01;0.21094688773155212;0.22977613411486364
108;0.0;2024-10-01;0.21569101512432098;0.23558421423299508
109;0.0;2024-11-01;0.21477451920509338;0.24033248352400766
110;0.0;2024-12-01;0.22830885648727417;0.24365727215740818
111;0.0;2025-01-01;0.2465175986289978;0.24411918908951866
